step,spectral,movement,compositional,aperture
0,0.39902323484420776,0.0,0.031921859830617905,0.05000000074505806
10,0.4149482846260071,4.898417949676514,1.0,1.0
20,0.46211355924606323,1.009082317352295,1.0,1.0
30,0.49113959074020386,0.21422071754932404,0.7185947895050049,0.3573625087738037
40,0.599384605884552,0.08029606938362122,0.593674898147583,0.2662319540977478
50,0.5764931440353394,0.0,0.5269837379455566,0.19760653376579285
60,0.4801006317138672,0.0,0.5050091743469238,0.26143714785575867
70,0.5451891422271729,0.0,0.5113816261291504,0.2586439549922943
80,0.5862778425216675,0.0,0.503903865814209,0.20702451467514038
90,0.41274744272232056,0.026508094742894173,0.4963867664337158,0.24491152167320251
100,0.5353775024414062,0.00339527428150177,0.4959821403026581,0.23696455359458923
110,0.5231483578681946,0.0,0.5104746222496033,0.22142425179481506
120,0.39954447746276855,0.0,0.49845650792121887,0.25503960251808167
130,0.3957536816596985,0.0,0.4930821359157562,0.24543559551239014
140,0.5396664142608643,0.0026028507854789495,0.49939003586769104,0.18156811594963074
150,0.4242250323295593,0.003778021316975355,0.4974944591522217,0.19185294210910797
160,0.4119507670402527,0.0,0.5117527842521667,0.2726689577102661
170,0.5271317958831787,0.0,0.5113816857337952,0.19378256797790527
180,0.5740236043930054,0.0,0.5351136922836304,0.21598313748836517
190,0.4150732159614563,0.016515661031007767,0.5222075581550598,0.21565315127372742
200,0.5898824334144592,0.0,0.514839768409729,0.18511711061000824
210,0.3739304542541504,0.01671125926077366,0.4990023672580719,0.2418413758277893
220,0.5098187923431396,0.00003761142579605803,0.5047179460525513,0.22759971022605896
230,0.4829161763191223,0.0,0.4888125956058502,0.21629410982131958
240,0.41341519355773926,0.0,0.4997774660587311,0.23427459597587585
250,0.62699294090271,0.0,0.5159478783607483,0.24918952584266663
260,0.4266282320022583,0.008467343635857105,0.49434947967529297,0.22375887632369995
270,0.512653112411499,0.02294645458459854,0.5022903084754944,0.18954229354858398
280,0.5439327359199524,0.012377431616187096,0.4945966303348541,0.1884695291519165
290,0.610084056854248,0.0,0.5214474201202393,0.2675459384918213
300,0.5888984203338623,0.019977204501628876,0.5227628350257874,0.239893838763237
310,0.6203553676605225,0.007701080292463303,0.5510520339012146,0.27280381321907043
320,0.5141687393188477,0.010643182322382927,0.5523500442504883,0.25393354892730713
330,0.47910451889038086,0.0,0.5563483238220215,0.2917894423007965
340,0.5224182605743408,0.0,0.5594366788864136,0.2565505802631378
350,0.6620879769325256,0.0,0.575027585029602,0.2827626168727875
360,0.7013282775878906,0.01304287277162075,0.6089925765991211,0.3172253668308258
370,0.5807497501373291,0.0,0.6158878207206726,0.3021441102027893
380,0.5648864507675171,0.0,0.6132069826126099,0.2843877375125885
390,0.7039210796356201,0.0,0.6023834347724915,0.2465418428182602
400,0.6351077556610107,0.03299598768353462,0.6186288595199585,0.2825186848640442
410,0.5835403800010681,0.018996698781847954,0.6253570914268494,0.2932836711406708
420,0.7193104028701782,0.023869967088103294,0.6536056995391846,0.32586386799812317
430,0.6462935209274292,0.027167974039912224,0.6449541449546814,0.3095853328704834
